Timestamp;phi;thetab;spin_rad
5957000;-1.186744E-002;4.042119E-003;-9.230384E-003
5969000;-1.175457E-002;4.057616E-003;-9.230384E-003
5981000;-1.160400E-002;3.965706E-003;-9.230384E-003
5992000;-1.145716E-002;3.803581E-003;-9.230384E-003
6006000;-1.126066E-002;3.549218E-003;-9.230384E-003
6018000;-1.108344E-002;3.256381E-003;-9.230384E-003
6030000;-1.093157E-002;2.984703E-003;-9.230384E-003
6042000;-1.085511E-002;2.703100E-003;-9.230384E-003
6054000;-1.084249E-002;2.412081E-003;-9.230384E-003
6066000;-1.088786E-002;2.083212E-003;-9.230384E-003
6078000;-1.099470E-002;1.882643E-003;-9.230384E-003
6090000;-1.110100E-002;1.711309E-003;-9.230384E-003
6102000;-1.123360E-002;1.538754E-003;-9.230384E-003
6113000;-1.133542E-002;1.372635E-003;-9.230384E-003
