Timestamp;s;distance;thetab
4545000;1.826250E-001;1.996457E-001;3.918111E-004
4558000;1.826250E-001;1.996457E-001;4.067123E-004
4570000;1.826081E-001;1.996457E-001;3.935397E-004
4583000;1.826081E-001;1.996457E-001;3.822744E-004
4596000;1.826081E-001;1.996457E-001;4.109442E-004
4609000;1.826081E-001;1.996457E-001;4.172325E-004
4622000;1.826081E-001;1.996457E-001;4.055798E-004
4635000;1.826081E-001;1.996457E-001;3.887117E-004
4647000;1.825744E-001;1.996457E-001;4.129112E-004
4659000;1.825744E-001;1.996457E-001;4.372597E-004
4671000;1.825913E-001;1.996457E-001;4.342198E-004
4683000;1.825744E-001;1.996457E-001;4.350245E-004
4695000;1.825575E-001;1.996457E-001;4.212558E-004
4708000;1.825575E-001;1.996457E-001;3.926754E-004
4723000;1.825575E-001;1.996457E-001;3.679693E-004
4735000;1.825575E-001;1.996457E-001;3.986657E-004
4749000;1.825575E-001;1.996457E-001;4.169643E-004
4761000;1.825407E-001;1.996457E-001;3.991723E-004
4775000;1.825575E-001;1.996457E-001;4.045069E-004
4788000;1.825238E-001;1.996457E-001;4.185140E-004
4800000;1.825407E-001;1.996457E-001;4.129708E-004
4812000;1.825069E-001;1.996457E-001;4.144609E-004
4824000;1.825069E-001;1.996457E-001;4.440844E-004
4837000;1.825069E-001;1.996457E-001;4.584789E-004
4849000;1.825069E-001;1.996457E-001;4.867613E-004
4862000;1.825069E-001;1.996457E-001;4.875064E-004
4874000;1.824900E-001;1.996457E-001;4.818738E-004
4886000;1.825069E-001;1.996457E-001;4.955232E-004
4899000;1.824900E-001;1.996457E-001;4.797578E-004
4911000;1.824900E-001;1.996457E-001;4.968643E-004
4925000;1.824731E-001;1.996457E-001;5.069971E-004
4937000;1.824731E-001;1.996457E-001;5.103946E-004
4949000;1.824563E-001;1.996457E-001;5.239546E-004
4962000;1.824563E-001;1.996457E-001;5.342066E-004
4975000;1.824563E-001;1.996457E-001;5.446076E-004
4987000;1.824394E-001;1.996457E-001;5.624592E-004
5000000;1.824394E-001;1.996457E-001;5.765557E-004
5012000;1.824225E-001;1.996457E-001;5.733669E-004
5025000;1.824225E-001;1.996457E-001;5.861223E-004
5037000;1.824225E-001;1.996457E-001;6.343424E-004
5050000;1.824225E-001;1.996457E-001;6.698966E-004
5063000;1.824225E-001;1.996457E-001;6.827712E-004
5076000;1.824057E-001;1.996457E-001;7.215738E-004
5088000;1.824057E-001;1.996457E-001;7.399917E-004
5101000;1.824057E-001;1.996457E-001;7.537007E-004
5114000;1.824057E-001;1.996457E-001;7.937551E-004
5126000;1.824057E-001;1.996457E-001;8.392930E-004
5138000;1.824057E-001;1.996457E-001;8.365512E-004
5151000;1.824057E-001;1.996457E-001;8.527040E-004
