Timestamp;torque;torque
3150000;-1.995211E+001;-2.360531E+001
3164000;-2.220024E+001;-2.360531E+001
3176000;-2.051414E+001;-2.093567E+001
3187000;-1.910906E+001;-2.121668E+001
3198000;-1.924957E+001;-2.093567E+001
3209000;-1.882805E+001;-2.121668E+001
3221000;-1.939008E+001;-2.107617E+001
3233000;-1.896856E+001;-2.163820E+001
3244000;-1.896856E+001;-2.205973E+001
3256000;-1.939008E+001;-2.149770E+001
3268000;-1.939008E+001;-2.163820E+001
3280000;-1.924957E+001;-2.149770E+001
3293000;-1.953059E+001;-2.149770E+001
3304000;-1.967109E+001;-2.149770E+001
3316000;-1.924957E+001;-2.163820E+001
3328000;-1.896856E+001;-2.149770E+001
3340000;-1.924957E+001;-2.416735E+001
3352000;-1.854703E+001;-2.360531E+001
3364000;-1.939008E+001;-2.360531E+001
3376000;-1.939008E+001;-2.360531E+001
3387000;-1.882805E+001;-2.360531E+001
3398000;-1.896856E+001;-2.360531E+001
3410000;-1.882805E+001;-2.360531E+001
3421000;-1.924957E+001;-2.107617E+001
3434000;-1.924957E+001;-2.121668E+001
3446000;-1.910906E+001;-2.149770E+001
3457000;-1.953059E+001;-2.121668E+001
3468000;-1.910906E+001;-2.107617E+001
3479000;-1.910906E+001;-2.135719E+001
3490000;-1.882805E+001;-2.121668E+001
3501000;-1.882805E+001;-2.135719E+001
3513000;-1.868754E+001;-2.121668E+001
3525000;-1.939008E+001;-2.121668E+001
3537000;-1.882805E+001;-2.135719E+001
3549000;-1.882805E+001;-2.177871E+001
3560000;-1.939008E+001;-2.163820E+001
3571000;-1.967109E+001;-2.135719E+001
3582000;-1.953059E+001;-2.135719E+001
3593000;-1.882805E+001;-2.360531E+001
3604000;-1.882805E+001;-2.149770E+001
3616000;-1.896856E+001;-2.360531E+001
3627000;-1.840652E+001;-2.149770E+001
3638000;-1.868754E+001;-2.149770E+001
3649000;-1.910906E+001;-2.149770E+001
3660000;-1.784449E+001;-2.121668E+001
3671000;-2.149770E+001;-2.149770E+001
3683000;-1.995211E+001;-2.121668E+001
3694000;-2.205973E+001;-2.107617E+001
3707000;-1.995211E+001;-2.177871E+001
3718000;-1.896856E+001;-2.135719E+001
3729000;-2.065465E+001;-2.135719E+001
3740000;-1.910906E+001;-2.135719E+001
3752000;-1.939008E+001;-2.149770E+001
3763000;-1.939008E+001;-2.135719E+001
3775000;-1.812551E+001;-2.220024E+001
3787000;-1.798500E+001;-2.135719E+001
3799000;-1.910906E+001;-2.149770E+001
3811000;-1.910906E+001;-2.135719E+001
3822000;-1.910906E+001;-2.149770E+001
3833000;-1.910906E+001;-2.332430E+001
3844000;-1.882805E+001;-2.360531E+001
3855000;-1.882805E+001;-2.360531E+001
3866000;-1.868754E+001;-2.346481E+001
3877000;-1.910906E+001;-2.332430E+001
3889000;-1.910906E+001;-2.107617E+001
3900000;-1.910906E+001;-2.107617E+001
3911000;-1.910906E+001;-2.107617E+001
3923000;-1.896856E+001;-2.107617E+001
3935000;-1.910906E+001;-2.121668E+001
3946000;-1.910906E+001;-2.332430E+001
3958000;-1.967109E+001;-2.149770E+001
3970000;-1.910906E+001;-2.135719E+001
3982000;-1.882805E+001;-2.121668E+001
3994000;-1.910906E+001;-2.135719E+001
4005000;-1.882805E+001;-2.121668E+001
4016000;-1.896856E+001;-2.149770E+001
4027000;-1.939008E+001;-2.163820E+001
4039000;-1.939008E+001;-2.149770E+001
4051000;-2.037363E+001;-2.135719E+001
4062000;-1.953059E+001;-2.135719E+001
4074000;-1.995211E+001;-2.304328E+001
4086000;-1.939008E+001;-2.360531E+001
4097000;-1.953059E+001;-2.360531E+001
4108000;-1.910906E+001;-2.360531E+001
4119000;-1.812551E+001;-2.304328E+001
4130000;-1.826602E+001;-2.107617E+001
4142000;-1.854703E+001;-2.121668E+001
4155000;-1.756348E+001;-2.079516E+001
4167000;-1.910906E+001;-2.093567E+001
4178000;-2.220024E+001;-2.093567E+001
4189000;-1.910906E+001;-2.107617E+001
4201000;-1.910906E+001;-2.135719E+001
4213000;-1.896856E+001;-2.135719E+001
4224000;-1.910906E+001;-2.107617E+001
4235000;-1.939008E+001;-2.135719E+001
4246000;-1.910906E+001;-2.135719E+001
4257000;-1.910906E+001;-2.149770E+001
4270000;-1.939008E+001;-2.135719E+001
4282000;-1.896856E+001;-2.135719E+001
4294000;-1.924957E+001;-2.135719E+001
4306000;-1.939008E+001;-2.135719E+001
4317000;-1.939008E+001;-2.360531E+001
4329000;-1.939008E+001;-2.346481E+001
4341000;-1.939008E+001;-2.388633E+001
4353000;-1.896856E+001;-2.346481E+001
4365000;-1.939008E+001;-2.304328E+001
4376000;-1.924957E+001;-2.107617E+001
4387000;-1.939008E+001;-2.107617E+001
4399000;-1.939008E+001;-2.093567E+001
4411000;-1.939008E+001;-2.093567E+001
4422000;-1.953059E+001;-2.093567E+001
4435000;-1.939008E+001;-2.135719E+001
4447000;-1.924957E+001;-2.121668E+001
4459000;-1.967109E+001;-2.121668E+001
4470000;-1.953059E+001;-2.135719E+001
4481000;-1.967109E+001;-2.135719E+001
4493000;-1.910906E+001;-2.135719E+001
4505000;-1.910906E+001;-2.149770E+001
4517000;-1.939008E+001;-2.121668E+001
4530000;-1.953059E+001;-2.135719E+001
4542000;-1.939008E+001;-2.149770E+001
4553000;-1.924957E+001;-2.332430E+001
4564000;-1.924957E+001;-2.332430E+001
4575000;-1.967109E+001;-2.332430E+001
4586000;-1.981160E+001;-2.360531E+001
4597000;-1.981160E+001;-2.360531E+001
4609000;-1.896856E+001;-2.149770E+001
4621000;-1.868754E+001;-2.107617E+001
4632000;-1.826602E+001;-2.093567E+001
4643000;-1.854703E+001;-2.093567E+001
4655000;-1.981160E+001;-2.107617E+001
4667000;-1.981160E+001;-2.107617E+001
4678000;-1.995211E+001;-2.149770E+001
4689000;-2.037363E+001;-2.135719E+001
4700000;-1.953059E+001;-2.135719E+001
4711000;-1.953059E+001;-2.135719E+001
4723000;-1.896856E+001;-2.135719E+001
4734000;-1.953059E+001;-2.135719E+001
4745000;-1.953059E+001;-2.149770E+001
4756000;-1.924957E+001;-2.163820E+001
4767000;-1.924957E+001;-2.149770E+001
4778000;-1.939008E+001;-2.163820E+001
4790000;-1.939008E+001;-2.149770E+001
4801000;-1.939008E+001;-2.332430E+001
4813000;-1.939008E+001;-2.304328E+001
4824000;-1.924957E+001;-2.318379E+001
4836000;-1.854703E+001;-2.290277E+001
4847000;-1.756348E+001;-2.037363E+001
4858000;-1.615840E+001;-1.953059E+001
4869000;-1.503434E+001;-1.728246E+001
4881000;-1.419129E+001;-1.615840E+001
4892000;-1.334824E+001;-1.264570E+001
4905000;-1.039758E+001;-1.419129E+001
4915000;-8.570977E+000;-9.554531E+000
4927000;-6.603868E+000;-6.884883E+000
4940000;-4.074727E+000;-5.339297E+000
4953000;-8.430469E-001;-4.074727E+000
4964000;1.967109E+000;9.835547E-001
4977000;4.215235E-001;1.826602E+000
4989000;4.215234E+000;3.231680E+000
5005000;1.686094E+000;9.835547E-001
5017000;2.810156E+000;4.215234E+000
5029000;4.074727E+000;6.463359E+000
5040000;5.620313E+000;6.744375E+000
5051000;8.430469E+000;7.587422E+000
5063000;1.081910E+001;6.182344E+000
5076000;1.278621E+001;7.165899E+000
